Origin,OriginState,Dest,DestState,CRSDepTime,CRSElapsedTime,Marketing_Airline_Network
FLL,FL,ATL,GA,1440,116.0,NK
MCO,FL,DFW,TX,953,167.0,NK
ATL,GA,FLL,FL,1840,115.0,NK
AUS,TX,EWR,NJ,1445,240.0,NK
EWR,NJ,AUS,TX,945,237.0,NK
MCO,FL,EWR,NJ,1111,167.0,NK
EWR,NJ,LAX,CA,1523,362.0,NK
LAX,CA,EWR,NJ,2032,348.0,NK
BWI,MD,LAX,CA,1037,332.0,NK
ATL,GA,DFW,TX,805,140.0,NK
LAX,CA,BWI,MD,1615,298.0,NK
EWR,NJ,FLL,FL,1830,186.0,NK
FLL,FL,EWR,NJ,2226,183.0,NK
MCO,FL,BNA,TN,1712,127.0,NK
BNA,TN,MCO,FL,1910,125.0,NK
LAX,CA,AUS,TX,1359,187.0,NK
AUS,TX,LAX,CA,1202,193.0,NK
CLE,OH,MCO,FL,545,147.0,NK
LAS,NV,ABQ,NM,1630,91.0,NK
ABQ,NM,LAS,NV,1952,90.0,NK
LAS,NV,BOI,ID,1207,107.0,NK
BOI,ID,LAS,NV,1549,113.0,NK
LAS,NV,RNO,NV,630,87.0,NK
RNO,NV,LAS,NV,856,87.0,NK
LAS,NV,RNO,NV,1735,86.0,NK
RNO,NV,LAS,NV,2000,91.0,NK
LAS,NV,SJC,CA,836,85.0,NK
SJC,CA,DFW,TX,1056,215.0,NK
DFW,TX,SJC,CA,1658,213.0,NK
SJC,CA,LAS,NV,615,84.0,NK
LAS,NV,SJC,CA,1855,90.0,NK
SJC,CA,LAS,NV,1930,82.0,NK
FLL,FL,IAH,TX,725,163.0,NK
MCO,FL,BDL,CT,1400,169.0,NK
BDL,CT,MCO,FL,1745,176.0,NK
SAN,CA,LAS,NV,715,82.0,NK
PHL,PA,DFW,TX,2125,214.0,NK
DFW,TX,PHL,PA,545,202.0,NK
LAS,NV,BUR,CA,910,72.0,NK
BUR,CA,LAS,NV,1112,71.0,NK
LAX,CA,PHL,PA,945,314.0,NK
PHL,PA,LAX,CA,1400,338.0,NK
DFW,TX,LAS,NV,610,169.0,NK
FLL,FL,CLT,NC,710,120.0,NK
CLT,NC,FLL,FL,1005,119.0,NK
LAS,NV,DFW,TX,749,165.0,NK
LAS,NV,LAX,CA,1450,82.0,NK
LAX,CA,LAS,NV,2315,82.0,NK
LAS,NV,DFW,TX,550,165.0,NK
DFW,TX,LAS,NV,1628,173.0,NK
DFW,TX,ATL,GA,1726,133.0,NK
ATL,GA,DFW,TX,1445,138.0,NK
DFW,TX,ORD,IL,815,152.0,NK
LAS,NV,ATL,GA,1228,251.0,NK
ATL,GA,LAS,NV,2042,250.0,NK
DFW,TX,EWR,NJ,831,211.0,NK
EWR,NJ,DFW,TX,1356,219.0,NK
DFW,TX,OAK,CA,1725,221.0,NK
OAK,CA,DFW,TX,1230,213.0,NK
IAH,TX,PHL,PA,915,195.0,NK
PHL,PA,IAH,TX,1500,209.0,NK
ORD,IL,TPA,FL,1915,166.0,NK
TPA,FL,ORD,IL,1235,183.0,NK
LAX,CA,MCO,FL,2359,307.0,NK
MCO,FL,LAX,CA,1840,305.0,NK
LAX,CA,ORD,IL,2330,251.0,NK
MCO,FL,BOS,MA,916,185.0,NK
BOS,MA,MCO,FL,1330,193.0,NK
MEM,TN,MCO,FL,700,144.0,NK
MCO,FL,MEM,TN,2205,129.0,NK
SNA,CA,LAS,NV,1449,73.0,NK
DFW,TX,PHX,AZ,1820,142.0,NK
PHX,AZ,DFW,TX,1937,136.0,NK
LAS,NV,SNA,CA,1055,74.0,NK
SNA,CA,LAS,NV,1304,73.0,NK
MKE,WI,MCO,FL,810,174.0,NK
MCO,FL,MKE,WI,1820,170.0,NK
ORD,IL,DFW,TX,1452,148.0,NK
FLL,FL,DFW,TX,2025,186.0,NK
BOS,MA,FLL,FL,600,200.0,NK
FLL,FL,BNA,TN,2209,141.0,NK
MCI,MO,MCO,FL,600,179.0,NK
ACY,NJ,MCO,FL,602,148.0,NK
LAS,NV,SLC,UT,1146,86.0,NK
LAX,CA,SLC,UT,1812,108.0,NK
SLC,UT,LAX,CA,849,116.0,NK
DTW,MI,PHL,PA,857,100.0,NK
ORF,VA,MCO,FL,1050,128.0,NK
MCO,FL,ORF,VA,750,121.0,NK
FLL,FL,DFW,TX,720,185.0,NK
DTW,MI,MIA,FL,1816,179.0,NK
MIA,FL,DTW,MI,1400,191.0,NK
LAS,NV,CMH,OH,2250,235.0,NK
DFW,TX,FLL,FL,1815,181.0,NK
MCO,FL,ATL,GA,1945,100.0,NK
ATL,GA,MCO,FL,610,84.0,NK
PHL,PA,MCO,FL,633,162.0,NK
LAX,CA,FLL,FL,2139,306.0,NK
MIA,FL,ATL,GA,840,114.0,NK
ATL,GA,MIA,FL,1052,115.0,NK
EWR,NJ,SLC,UT,700,320.0,NK
SLC,UT,EWR,NJ,1110,270.0,NK
MIA,FL,EWR,NJ,1817,193.0,NK
DFW,TX,MCO,FL,1955,177.0,NK
EWR,NJ,MIA,FL,1939,186.0,NK
MIA,FL,BOS,MA,655,208.0,NK
BOS,MA,MIA,FL,1120,214.0,NK
DTW,MI,LGA,NY,1844,104.0,NK
MIA,FL,DEN,CO,545,248.0,NK
DEN,CO,MIA,FL,850,250.0,NK
MCO,FL,DFW,TX,1715,168.0,NK
IAH,TX,MIA,FL,948,153.0,NK
MIA,FL,IAH,TX,2033,157.0,NK
MIA,FL,CLT,NC,1415,135.0,NK
CLT,NC,MIA,FL,1725,134.0,NK
PHL,PA,MIA,FL,730,180.0,NK
MIA,FL,PHL,PA,2050,172.0,NK
ORD,IL,MIA,FL,1323,180.0,NK
MIA,FL,ORD,IL,1130,203.0,NK
LGA,NY,MIA,FL,1159,189.0,NK
MIA,FL,CLT,NC,1615,135.0,NK
CLT,NC,MIA,FL,1925,133.0,NK
CLE,OH,MIA,FL,1815,170.0,NK
MCO,FL,LGA,NY,515,154.0,NK
MIA,FL,CLE,OH,1433,174.0,NK
DFW,TX,MIA,FL,1550,181.0,NK
MIA,FL,DFW,TX,2035,191.0,NK
MIA,FL,ORD,IL,1935,203.0,NK
ORD,IL,MIA,FL,1533,189.0,NK
MIA,FL,LAS,NV,1550,306.0,NK
LAS,NV,MIA,FL,2128,302.0,NK
EWR,NJ,MCO,FL,1134,172.0,NK
IND,IN,MCO,FL,900,145.0,NK
MIA,FL,LGA,NY,1558,185.0,NK
MCO,FL,CMH,OH,1625,136.0,NK
MYR,SC,PHL,PA,1740,100.0,NK
PHL,PA,MYR,SC,1010,104.0,NK
MYR,SC,PIT,PA,1249,90.0,NK
PIT,PA,MYR,SC,1514,90.0,NK
CMH,OH,MCO,FL,1940,138.0,NK
PIT,PA,LAS,NV,730,277.0,NK
LAS,NV,PIT,PA,930,251.0,NK
TPA,FL,DTW,MI,625,157.0,NK
DTW,MI,TPA,FL,1825,157.0,NK
MCO,FL,DTW,MI,1800,162.0,NK
FLL,FL,LAX,CA,1825,325.0,NK
ACY,NJ,TPA,FL,1645,145.0,NK
DTW,MI,MSP,MN,705,107.0,NK
ACY,NJ,RSW,FL,630,156.0,NK
RSW,FL,ACY,NJ,956,142.0,NK
TPA,FL,ACY,NJ,2005,145.0,NK
FLL,FL,IAH,TX,2005,164.0,NK
ACY,NJ,MCO,FL,1308,145.0,NK
MCO,FL,ACY,NJ,646,142.0,NK
MCO,FL,PHL,PA,550,154.0,NK
IAH,TX,ATL,GA,1910,128.0,NK
ATL,GA,IAH,TX,2020,130.0,NK
ACY,NJ,PBI,FL,1005,153.0,NK
PBI,FL,ACY,NJ,1328,146.0,NK
BOS,MA,LAX,CA,1910,370.0,NK
LAX,CA,BOS,MA,930,330.0,NK
LAS,NV,BOS,MA,2245,301.0,NK
BOS,MA,LAS,NV,801,350.0,NK
FLL,FL,DTW,MI,745,178.0,NK
CLT,NC,MCO,FL,1425,96.0,NK
MCO,FL,CLT,NC,2304,106.0,NK
PHL,PA,DTW,MI,1928,100.0,NK
BWI,MD,TPA,FL,845,146.0,NK
TPA,FL,BWI,MD,1210,137.0,NK
TPA,FL,ATL,GA,1503,102.0,NK
ATL,GA,TPA,FL,1145,87.0,NK
DTW,MI,ATL,GA,1716,120.0,NK
DTW,MI,ATL,GA,845,119.0,NK
ATL,GA,DTW,MI,1740,117.0,NK
DTW,MI,AUS,TX,2045,184.0,NK
AUS,TX,DTW,MI,1553,180.0,NK
FLL,FL,SDF,KY,805,145.0,NK
SDF,KY,FLL,FL,1123,152.0,NK
PHL,PA,LAS,NV,1825,323.0,NK
LAS,NV,PHL,PA,2205,286.0,NK
FLL,FL,ACY,NJ,1456,158.0,NK
ACY,NJ,FLL,FL,1829,161.0,NK
ATL,GA,FLL,FL,520,115.0,NK
LAS,NV,TPA,FL,1636,263.0,NK
LAS,NV,BNA,TN,33,223.0,NK
BNA,TN,LAS,NV,1213,227.0,NK
CLE,OH,FLL,FL,631,171.0,NK
BWI,MD,FLL,FL,645,155.0,NK
LAS,NV,SEA,WA,857,160.0,NK
SEA,WA,LAS,NV,1234,157.0,NK
LAS,NV,SLC,UT,1544,86.0,NK
SLC,UT,LAS,NV,1910,91.0,NK
LAS,NV,PDX,OR,846,135.0,NK
PDX,OR,LAS,NV,1156,137.0,NK
LAS,NV,SEA,WA,1503,162.0,NK
LAS,NV,SAN,CA,1000,75.0,NK
MCO,FL,CLE,OH,2137,142.0,NK
DFW,TX,MCO,FL,1231,176.0,NK
BNA,TN,CLT,NC,730,80.0,NK
CLT,NC,BNA,TN,1050,85.0,NK
LAS,NV,EWR,NJ,2321,299.0,NK
EWR,NJ,LAS,NV,830,325.0,NK
LAS,NV,MIA,FL,1513,302.0,NK
MIA,FL,LAS,NV,615,305.0,NK
CMH,OH,FLL,FL,700,154.0,NK
SAN,CA,SJC,CA,1217,92.0,NK
SJC,CA,SAN,CA,1439,86.0,NK
DFW,TX,LAX,CA,1130,192.0,NK
LAX,CA,DFW,TX,2338,192.0,NK
LAX,CA,MEM,TN,1357,228.0,NK
MEM,TN,LAX,CA,2054,229.0,NK
LGA,NY,MCO,FL,1959,183.0,NK
FLL,FL,CMH,OH,1210,157.0,NK
SDF,KY,LAX,CA,1804,258.0,NK
LAX,CA,MSY,LA,952,234.0,NK
AUS,TX,LAS,NV,2000,169.0,NK
AUS,TX,FLL,FL,1010,170.0,NK
FLL,FL,AUS,TX,1250,184.0,NK
ORD,IL,IAH,TX,756,159.0,NK
EWR,NJ,FLL,FL,623,182.0,NK
FLL,FL,EWR,NJ,620,183.0,NK
PHL,PA,MCO,FL,1720,166.0,NK
MCO,FL,CLE,OH,1706,148.0,NK
CLE,OH,MCO,FL,2034,151.0,NK
IND,IN,LAS,NV,1527,237.0,NK
LAS,NV,AUS,TX,615,174.0,NK
MSY,LA,MCO,FL,1730,113.0,NK
MCO,FL,MSY,LA,2246,104.0,NK
LAS,NV,IND,IN,735,217.0,NK
TPA,FL,FLL,FL,1013,67.0,NK
IAH,TX,LAX,CA,545,206.0,NK
